tzid,windowsName,windowsId
America/Bogota,"Bogota, Lima, Quito, Rio Branco",SA Pacific Standard Time
America/Rio_Branco America/Eirunepe,"Bogota, Lima, Quito, Rio Branco",SA Pacific Standard Time
America/Coral_Harbour,"Bogota, Lima, Quito, Rio Branco",SA Pacific Standard Time
America/Guayaquil,"Bogota, Lima, Quito, Rio Branco",SA Pacific Standard Time
America/Jamaica,"Bogota, Lima, Quito, Rio Branco",SA Pacific Standard Time
America/Cayman,"Bogota, Lima, Quito, Rio Branco",SA Pacific Standard Time
America/Panama,"Bogota, Lima, Quito, Rio Branco",SA Pacific Standard Time
America/Lima,"Bogota, Lima, Quito, Rio Branco",SA Pacific Standard Time
Etc/GMT+5,"Bogota, Lima, Quito, Rio Branco",SA Pacific Standard Time
America/Cancun,Chetumal,Eastern Standard Time (Mexico)
America/New_York,Eastern Time (US & Canada),Eastern Standard Time
America/Nassau,Eastern Time (US & Canada),Eastern Standard Time
America/Toronto America/Iqaluit America/Montreal America/Nipigon America/Pangnirtung America/Thunder_Bay,Eastern Time (US & Canada),Eastern Standard Time
America/New_York America/Detroit America/Indiana/Petersburg America/Indiana/Vincennes America/Indiana/Winamac America/Kentucky/Monticello America/Louisville,Eastern Time (US & Canada),Eastern Standard Time
EST5EDT,Eastern Time (US & Canada),Eastern Standard Time
America/Port-au-Prince,Haiti,Haiti Standard Time
America/Havana,Havana,Cuba Standard Time
America/Indianapolis,Indiana (East),US Eastern Standard Time
America/Indianapolis America/Indiana/Marengo America/Indiana/Vevay,Indiana (East),US Eastern Standard Time
America/Asuncion,Asuncion,Paraguay Standard Time
America/Halifax,Atlantic Time (Canada),Atlantic Standard Time
Atlantic/Bermuda,Atlantic Time (Canada),Atlantic Standard Time
America/Halifax America/Glace_Bay America/Goose_Bay America/Moncton,Atlantic Time (Canada),Atlantic Standard Time
America/Thule,Atlantic Time (Canada),Atlantic Standard Time
America/Caracas,Caracas,Venezuela Standard Time
America/Cuiaba,Cuiaba,Central Brazilian Standard Time
America/Cuiaba America/Campo_Grande,Cuiaba,Central Brazilian Standard Time
America/La_Paz,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Antigua,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Anguilla,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Aruba,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
